scenario_id,job_id,oracle_grade,rater_1,rater_2,adjudicated,gold,gold_source,delta_human_minus_oracle,notes
SC-F-03,job-0136,3,3,3,,3,rater_concordant,0,
SC-F-03,job-0187,3,2,3,3,3,adjudicated,0,"Adjudicated 3: strict rater=2, holistic rater=3; role=1.00; required-skill-fit=0.50; soft-fit/location=None, mode=None, experience=over."
SC-F-04,job-0011,3,2,3,3,3,adjudicated,0,"Adjudicated 3: strict rater=2, holistic rater=3; role=1.00; required-skill-fit=1.00; soft-fit/location=False, mode=False, experience=over."
SC-F-04,job-0019,3,3,3,,3,rater_concordant,0,
SC-F-04,job-0066,0,0,0,,0,rater_concordant,0,
SC-F-04,job-0070,3,3,3,,3,rater_concordant,0,
SC-F-04,job-0086,3,3,3,,3,rater_concordant,0,
SC-F-04,job-0116,3,3,3,,3,rater_concordant,0,
SC-F-04,job-0159,3,3,3,,3,rater_concordant,0,
SC-F-04,job-0189,3,3,3,,3,rater_concordant,0,
SC-F-04,job-0195,3,3,3,,3,rater_concordant,0,
SC-G-01,job-0012,3,2,2,,2,rater_concordant,-1,
SC-G-01,job-0033,2,2,2,,2,rater_concordant,0,
SC-G-01,job-0049,2,2,2,,2,rater_concordant,0,
SC-G-01,job-0088,3,2,3,3,3,adjudicated,0,"Adjudicated 3: strict rater=2, holistic rater=3; role=1.00; required-skill-fit=0.50; soft-fit/location=False, mode=None, experience=fit."
SC-G-01,job-0128,3,2,2,,2,rater_concordant,-1,
SC-G-01,job-0136,3,0,0,,0,rater_concordant,-3,
SC-G-01,job-0153,2,2,2,,2,rater_concordant,0,
SC-G-01,job-0169,2,2,2,,2,rater_concordant,0,
SC-G-01,job-0171,1,1,2,2,2,adjudicated,1,"Adjudicated 2: strict rater=1, holistic rater=2; role=0.52; required-skill-fit=0.33; soft-fit/location=True, mode=None, experience=fit."
SC-G-01,job-0172,0,0,0,,0,rater_concordant,0,
SC-G-01,job-0187,3,2,2,,2,rater_concordant,-1,
SC-G-01,job-0196,3,0,0,,0,rater_concordant,-3,
SC-G-02,job-0001,0,0,0,,0,rater_concordant,0,
SC-G-02,job-0010,0,0,0,,0,rater_concordant,0,
SC-G-02,job-0014,3,3,3,,3,rater_concordant,0,
SC-G-02,job-0031,3,3,3,,3,rater_concordant,0,
SC-G-02,job-0053,3,3,3,,3,rater_concordant,0,
SC-G-02,job-0083,0,0,0,,0,rater_concordant,0,
SC-G-02,job-0088,3,2,3,3,3,adjudicated,0,"Adjudicated 3: strict rater=2, holistic rater=3; role=1.00; required-skill-fit=0.50; soft-fit/location=False, mode=None, experience=fit."
SC-G-02,job-0108,2,1,2,1,1,adjudicated,-1,"Adjudicated 1: strict rater=1, holistic rater=2; role=0.50; required-skill-fit=0.50; soft-fit/location=True, mode=None, experience=over."
SC-G-02,job-0116,2,1,2,2,2,adjudicated,0,"Adjudicated 2: strict rater=1, holistic rater=2; role=0.50; required-skill-fit=0.50; soft-fit/location=True, mode=None, experience=fit."
SC-G-02,job-0124,3,3,3,,3,rater_concordant,0,
SC-G-02,job-0129,2,1,2,1,1,adjudicated,-1,"Adjudicated 1: strict rater=1, holistic rater=2; role=0.50; required-skill-fit=0.50; soft-fit/location=True, mode=None, experience=over."
SC-H-01,job-0056,0,0,0,,0,rater_concordant,0,
SC-H-01,job-0083,0,0,0,,0,rater_concordant,0,
SC-H-01,job-0088,0,0,0,,0,rater_concordant,0,
SC-H-01,job-0095,0,0,0,,0,rater_concordant,0,
SC-H-01,job-0128,0,0,0,,0,rater_concordant,0,
SC-H-01,job-0136,0,0,0,,0,rater_concordant,0,
SC-H-01,job-0165,0,0,0,,0,rater_concordant,0,
SC-H-01,job-0187,0,0,0,,0,rater_concordant,0,
SC-H-01,job-0196,0,0,0,,0,rater_concordant,0,
SC-H-02,job-0001,0,0,0,,0,rater_concordant,0,
SC-H-02,job-0014,0,0,0,,0,rater_concordant,0,
SC-H-02,job-0017,0,0,0,,0,rater_concordant,0,
SC-H-02,job-0046,0,0,0,,0,rater_concordant,0,
SC-H-02,job-0083,0,0,0,,0,rater_concordant,0,
SC-H-02,job-0088,0,0,0,,0,rater_concordant,0,
SC-H-02,job-0101,0,0,0,,0,rater_concordant,0,
SC-H-02,job-0136,0,0,0,,0,rater_concordant,0,
SC-H-02,job-0138,0,0,0,,0,rater_concordant,0,
SC-H-03,job-0009,0,0,0,,0,rater_concordant,0,
SC-H-03,job-0038,0,0,0,,0,rater_concordant,0,
SC-H-03,job-0040,0,0,0,,0,rater_concordant,0,
SC-H-03,job-0041,0,0,0,,0,rater_concordant,0,
SC-H-03,job-0043,0,0,0,,0,rater_concordant,0,
SC-H-03,job-0048,0,0,0,,0,rater_concordant,0,
SC-H-03,job-0078,0,0,0,,0,rater_concordant,0,
SC-H-03,job-0146,0,0,0,,0,rater_concordant,0,
